Department,DistinguishedName,Enabled,GivenName,Manager,Name,ObjectClass,OfficePhone,SamAccountName,sn,Surname,Title
Content Management Consulting,CN=Lisa Andrews,TRUE,Lisa,CN=Stan Orme,Lisa Andrews,user,+41 56 406 7545,lisaa,Andrews,Andrews,Content Management Consultant
Content Management Consulting,CN=Jim Lucey,TRUE,Jim,CN=Stan Orme,Jim Lucey,user,+41 56 406 1626,jiml,Lucey,Lucey,Content Management Consultant
Content Management Consulting,CN=Gareth Chan,TRUE,Gareth,CN=Stan Orme,Gareth Chan,user,+41 56 406 5894,garethc,Chan,Chan,Content Management Consultant
CRM Strategy,CN=Karin Lamb,TRUE,Karin,CN=Syed Abbas,Karin Lamb,user,+41 56 406 9834,karinl,Lamb,Lamb,CRM Consultant
Content Management Consulting,CN=David Hamilton,TRUE,David,CN=Stan Orme,David Hamilton,user,+41 56 406 7963,davidh,Hamilton,Hamilton,CRM Consultant
CRM Strategy,CN=Merav Sror,TRUE,Merav,CN=Syed Abbas,Merav Sror,user,+41 56 406 2697,meravs,Sror,Sror,CRM Consultant
Content Management Consulting,CN=Reina Cabatana,TRUE,Reina,CN=Stan Orme,Reina Cabatana,user,+41 56 406 3658,reinac,Cabatana,Cabatana,Content Management Consultant
Content Management Consulting,CN=Robin Young,TRUE,Robin,CN=Stan Orme,Robin Young,user,+41 56 406 4428,robiny,Young,Young,Content Management Consultant
Content Management Consulting,CN=Peter Saddow,TRUE,Peter,CN=Stan Orme,Peter Saddow,user,+41 56 406 9437,peters,Saddow,Saddow,Content Management Consultant
Content Management Consulting,CN=Vladimir Egorov,TRUE,Vladimir,CN=Stan Orme,Vladimir Egorov,user,+41 56 406 9441,vladime,Egorov,Egorov,Content Management Consultant
Content Management Consulting,CN=Esther Valle,TRUE,Esther,CN=Stan Orme,Esther Valle,user,+41 56 406 8548,estherv,Valle,Valle,Content Management Consultant
Strategy Consulting,CN=Lori Kane,TRUE,Lori,CN=Brad Sutton,Lori Kane,user,+41 56 406 5292,lorik,Kane,Kane,Strategy Consultant
Engineering Operations,CN=Cliff Diddier,TRUE,Cliff,CN=Carol Troup,Cliff Diddier,user,+41 56 406 3748,cliffd,Diddier,Diddier,Engineer
Engineering Operations,CN=Chen Yang,TRUE,Chen,CN=Carol Troup,Chen Yang,user,+41 56 406 6173,cheny,Yang,Yang,Engineer
Engineering Operations,CN=Bernard Tham,TRUE,Bernard,CN=Carol Troup,Bernard Tham,user,+41 56 406 3119,bernart,Tham,Tham,Engineer
Engineering Operations,CN=Ari Suominen,TRUE,Ari,CN=Carol Troup,Ari Suominen,user,+41 56 406 7231,aris,Suominen,Suominen,Engineer
Creative,CN=Anu Deshpande,TRUE,Anu,CN=Carol Troup,Anu Deshpande,user,+41 56 406 6699,anud,Deshpande,Deshpande,Engineer
Engineering Operations,CN=Allan Guinot,TRUE,Allan,CN=Carol Troup,Allan Guinot,user,+41 56 406 6127,allang,Guinot,Guinot,Engineer
CRM Strategy,CN=Toby Nixon,TRUE,Toby,CN=Syed Abbas,Toby Nixon,user,+41 56 406 4379,tobyn,Nixon,Nixon,CRM Consultant
CRM Strategy,CN=Tad Orman,TRUE,Tad,CN=Syed Abbas,Tad Orman,user,+41 56 406 4625,tado,Orman,Orman,CRM Consultant
CRM Strategy,CN=Jeff Williams,TRUE,Jeff,CN=Syed Abbas,Jeff Williams,user,+41 56 406 2592,jeffw,Williams,Williams,CRM Consultant
Strategy Consulting,CN=Frank Miller,TRUE,Frank,CN=David Maman,Frank Miller,user,+41 56 406 5231,frankm,Miller,Miller,Strategy Consultant
Strategy Consulting,CN=William Vong,TRUE,William,CN=Cesar Garcia,William Vong,user,+41 56 406 5864,williav,Vong,Vong,Strategy Consultant
Strategy Consulting,CN=Sameer Tejani,TRUE,Sameer,CN=Ellen Adams,Sameer Tejani,user,+41 56 406 5422,sameert,Tejani,Tejani,Strategy Consultant
Strategy Consulting,CN=Jon Jaffe,TRUE,Jon,CN=Brad Sutton,Jon Jaffe,user,+41 56 406 5499,jonj,Jaffe,Jaffe,Strategy Consultant
Strategy Consulting,CN=Mike Ray,TRUE,Mike,CN=David Maman,Mike Ray,user,+41 56 406 1665,miker,Ray,Ray,Strategy Consultant
Content Management Consulting,CN=Robert O'Hara,TRUE,Robert,CN=Stan Orme,Robert O'Hara,user,+41 56 406 3434,roberto,O'Hara,O'Hara,Content Management Consultant
Strategy Consulting,CN=Lisa Miller,TRUE,Lisa,CN=Cesar Garcia,Lisa Miller,user,+41 56 406 7947,lisam,Miller,Miller,Strategy Consultant
CRM Strategy,CN=Jason Carlson,TRUE,Jason,CN=Syed Abbas,Jason Carlson,user,+41 56 406 6548,jasonc,Carlson,Carlson,CRM Consultant
Strategy Consulting,CN=Jim Corbin,TRUE,Jim,CN=David Maman,Jim Corbin,user,+41 56 406 8157,jimc,Corbin,Corbin,Strategy Consultant
Strategy Consulting,CN=Jesus Escolar,TRUE,Jesus,CN=Aaron Painter,Jesus Escolar,user,+41 56 406 5784,jesuse,Escolar,Escolar,Strategy Consultant
Strategy Consulting,CN=Idan Rubin,TRUE,Idan,CN=Brad Sutton,Idan Rubin,user,+41 56 406 5862,idanr,Rubin,Rubin,Strategy Consultant
Strategy Consulting,CN=Don Hall,TRUE,Don,CN=Ellen Adams,Don Hall,user,+41 56 406 3518,donh,Hall,Hall,Strategy Consultant
Strategy Consulting,CN=Blaine Dockter,TRUE,Blaine,CN=Ellen Adams,Blaine Dockter,user,+41 56 406 4484,blained,Dockter,Dockter,Strategy Consultant
Strategy Consulting,CN=Anne Weiler,TRUE,Anne,CN=Cesar Garcia,Anne Weiler,user,+41 56 406 6443,annew,Weiler,Weiler,Strategy Consultant
Strategy Consulting,CN=Allison Brown,TRUE,Allison,CN=Aaron Painter,Allison Brown,user,+41 56 406 5461,allisob,Brown,Brown,Strategy Consultant
Engineering Operations,CN=Valery Ushakov,TRUE,Valery,CN=Carol Troup,Valery Ushakov,user,+41 56 406 3599,valeryu,Ushakov,Ushakov,Engineer
CRM Strategy,CN=Tosh Meston,TRUE,Tosh,CN=Syed Abbas,Tosh Meston,user,+41 56 406 1394,toshm,Meston,Meston,CRM Consultant
Content Management Consulting,CN=Sanjay Patel,TRUE,Sanjay,CN=Stan Orme,Sanjay Patel,user,+41 56 406 5542,sanjayp,Patel,Patel,Content Management Consultant
Strategy Consulting,CN=Roland Wacker,TRUE,Roland,CN=Aaron Painter,Roland Wacker,user,+41 56 406 8236,rolandw,Wacker,Wacker,Strategy Consultant
1099 Contractor,CN=David Derwin,TRUE,David,CN=Brian Groth,David Derwin,user,+41 56 406 7749,davidd,Derwin,Derwin,Project Manager
Strategy Consulting,CN=John Yokum,TRUE,John,CN=Ellen Adams,John Yokum,user,+41 56 406 8147,johny,Yokum,Yokum,Strategy Consultant
1099 Contractor,CN=Scott Rockfield,TRUE,Scott,CN=Brian Groth,Scott Rockfield,user,+41 56 406 5233,scottr,Rockfield,Rockfield,Project Manager
1099 Contractor,CN=Humberto Acevedo,TRUE,Humberto,CN=Brian Groth,Humberto Acevedo,user,+41 56 406 9549,humbera,Acevedo,Acevedo,Project Manager
1099 Contractor,CN=David So,TRUE,David,CN=Brian Groth,David So,user,+41 56 406 1459,davids1,So,So,Project Manager
1099 Contractor,CN=Anders Madsen,TRUE,Anders,CN=Brian Groth,Anders Madsen,user,+41 56 406 7593,andersm,Madsen,Madsen,Project Manager
1099 Contractor,CN=Alexandre Silva,TRUE,Alexandre,CN=Brian Groth,Alexandre Silva,user,+41 56 406 5413,alexans,Silva,Silva,Project Manager
1099 Contractor,CN=Stuart Munson,TRUE,Stuart,CN=Brian Groth,Stuart Munson,user,+41 56 406 9366,stuartm,Munson,Munson,Project Manager
1099 Contractor,CN=Qiong Wu,TRUE,Qiong,CN=Brian Groth,Qiong Wu,user,+41 56 406 2342,qiongw,Wu,Wu,Project Manager
1099 Contractor,CN=Michiko Osada,TRUE,Michiko,CN=Brian Groth,Michiko Osada,user,+41 56 406 1577,michiko,Osada,Osada,Project Manager
1099 Contractor,CN=Michael Zeman,TRUE,Michael,CN=Brian Groth,Michael Zeman,user,+41 56 406 7177,michaez,Zeman,Zeman,Project Manager
1099 Contractor,CN=Maurice Taylor,TRUE,Maurice,CN=Brian Groth,Maurice Taylor,user,+41 56 406 3382,maurict,Taylor,Taylor,Project Manager
1099 Contractor,CN=Guido Pica,TRUE,Guido,CN=Brian Groth,Guido Pica,user,+41 56 406 4724,guidop,Pica,Pica,Project Manager
1099 Contractor,CN=Jessica Arnold,TRUE,Jessica,CN=Brian Groth,Jessica Arnold,user,+41 56 406 3415,jessica,Arnold,Arnold,Project Manager
Accounting,CN=Chase Carpenter,TRUE,Chase,CN=Karim Manar,Chase Carpenter,user,+41 56 406 9764,chasec,Carpenter,Carpenter,Accountant
1099 Contractor,CN=Terrence Phillip,TRUE,Terrence,CN=Jenni Merrifield,Terrence Phillip,user,+41 56 406 1678,terrenp,Phillip,Phillip,Strategy Consultant
1099 Contractor,CN=Hugo Garcia,TRUE,Hugo,CN=Jenni Merrifield,Hugo Garcia,user,+41 56 406 6852,hugog,Garcia,Garcia,Strategy Consultant
1099 Contractor,CN=Jeremy Los,TRUE,Jeremy,CN=Jenni Merrifield,Jeremy Los,user,+41 56 406 8792,jeremyl,Los,Los,Strategy Consultant
1099 Contractor,CN=John Ganio,TRUE,John,CN=Jenni Merrifield,John Ganio,user,+41 56 406 6235,johng,Ganio,Ganio,Strategy Consultant
1099 Contractor,CN=Lina Abola,TRUE,Lina,CN=Jenni Merrifield,Lina Abola,user,+41 56 406 4666,linaa,Abola,Abola,Strategy Consultant
1099 Contractor,CN=Mark Hanson,TRUE,Mark,CN=Jenni Merrifield,Mark Hanson,user,+41 56 406 7794,markh,Hanson,Hanson,Strategy Consultant
1099 Contractor,CN=Jaka Stele,TRUE,Jaka,CN=Brian Groth,Jaka Stele,user,+41 56 406 6963,jakas,Stele,Stele,Project Manager
1099 Contractor,CN=Steven Wright,TRUE,Steven,CN=Jenni Merrifield,Steven Wright,user,+41 56 406 3155,stevenw,Wright,Wright,Strategy Consultant
1099 Contractor,CN=Dough Mahugh,TRUE,Dough,CN=Brian Groth,Dough Mahugh,user,+41 56 406 7139,doughm,Mahugh,Mahugh,Project Manager
1099 Contractor,CN=Andrea Dunker,TRUE,Andrea,CN=Brian Groth,Andrea Dunker,user,+41 56 406 1413,andread,Dunker,Dunker,Project Manager
1099 Contractor,CN=Carlos Grilo,TRUE,Carlos,CN=Brian Groth,Carlos Grilo,user,+41 56 406 4536,carlosg,Grilo,Grilo,Project Manager
1099 Contractor,CN=Chris McGurk,TRUE,Chris,CN=Brian Groth,Chris McGurk,user,+41 56 406 1833,chrism,McGurk,McGurk,Project Manager
1099 Contractor,CN=Dan Bacon,TRUE,Dan,CN=Brian Groth,Dan Bacon,user,+41 56 406 2464,danb,Bacon,Bacon,Project Manager
1099 Contractor,CN=Daniel Durrer,TRUE,Daniel,CN=Brian Groth,Daniel Durrer,user,+41 56 406 8793,danield,Durrer,Durrer,Project Manager
Accounting,CN=James Wittrell,TRUE,James,CN=Karim Manar,James Wittrell,user,+41 56 406 2597,jamesw,Wittrell,Wittrell,Accountant
1099 Contractor,CN=Scott MacDonald,TRUE,Scott,CN=Jenni Merrifield,Scott MacDonald,user,+41 56 406 8452,scottm,MacDonald,MacDonald,Strategy Consultant
Strategy Consulting,CN=Renee Lo,TRUE,Renee,CN=Aaron Painter,Renee Lo,user,+41 56 406 6864,reneel,Lo,Lo,Strategy Consultant
Content Management Consulting,CN=Cari Drummelle,TRUE,Cari,CN=Stan Orme,Cari Drummelle,user,+41 56 406 3889,carid,Drummelle,Drummelle,Content Management Consultant
Content Management Consulting,CN=Alfons Parovszky,TRUE,Alfons,CN=Stan Orme,Alfons Parovszky,user,+41 56 406 1659,alfonsp,Parovszky,Parovszky,Content Management Consultant
Content Management Consulting,CN=Matt Hink,TRUE,Matt,CN=Stan Orme,Matt Hink,user,+41 56 406 4157,matth,Hink,Hink,Content Management Consultant
CRM Strategy,CN=Lorraine Nay,TRUE,Lorraine,CN=Syed Abbas,Lorraine Nay,user,+41 56 406 8569,lorrain,Nay,Nay,CRM Consultant
Strategy Consulting,CN=Iben Thorell,TRUE,Iben,CN=Brad Sutton,Iben Thorell,user,+41 56 406 7167,ibent,Thorell,Thorell,Strategy Consultant
Content Management Consulting,CN=Magnus Hedlund,TRUE,Magnus,CN=Stan Orme,Magnus Hedlund,user,+41 56 406 7213,magnush,Hedlund,Hedlund,Business Process Manager
Content Management Consulting,CN=Erik Andersen,TRUE,Erik,CN=Stan Orme,Erik Andersen,user,+41 56 406 6448,erica,Andersen,Andersen,Content Management Consultant
Engineering Operations,CN=Corinna Bolender,TRUE,Corinna,CN=Carol Troup,Corinna Bolender,user,+41 56 406 9821,corinnb,Bolender,Bolender,Engineer
Strategy Consulting,CN=Trey Pratt,TRUE,Trey,CN=Cesar Garcia,Trey Pratt,user,+41 56 406 2297,treyp,Pratt,Pratt,Strategy Consultant
Sales,CN=John Kane,TRUE,John,CN=Jose Saraiva,John Kane,user,+41 56 406 8332,johnk,Kane,Kane,Salesperson
Strategy Consulting,CN=Parna Khot,TRUE,Parna,CN=Aaron Painter,Parna Khot,user,+41 56 406 8454,parnak,Khot,Khot,Strategy Consultant
Strategy Consulting,CN=Kim Ralls,TRUE,Kim,CN=David Maman,Kim Ralls,user,+41 56 406 1443,kimr,Ralls,Ralls,Strategy Consultant
Strategy Consulting,CN=Jan Kotas,TRUE,Jan,CN=Brad Sutton,Jan Kotas,user,+41 56 406 4747,jank,Kotas,Kotas,Strategy Consultant
1099 Contractor,CN=Thomas Hamborg,TRUE,Thomas,CN=Brian Groth,Thomas Hamborg,user,+41 56 406 4112,thomash,Hamborg,Hamborg,Project Manager
Strategy Consulting,CN=Lolan Song,TRUE,Lolan,CN=David Maman,Lolan Song,user,+41 56 406 1913,lolans,Song,Song,Strategy Consultant
Accounting,CN=Lars Hansson,TRUE,Lars,CN=Karim Manar,Lars Hansson,user,+41 56 406 7777,larsh,Hansson,Hansson,Accounting Manager
Accounting,CN=Jill Frank,TRUE,Jill,CN=Karim Manar,Jill Frank,user,+41 56 406 9559,jillf,Frank,Frank,Accountant
Accounting,CN=Joel Lachance,TRUE,Joel,CN=Karim Manar,Joel Lachance,user,+41 56 406 6848,joell,Lachance,Lachance,Accountant
Strategy Consulting,CN=John John,TRUE,John,CN=Aaron Painter,John John,user,+41 56 406 5846,johne,John,John,Strategy Consultant
Strategy Consulting,CN=Jun Cao,TRUE,Jun,CN=Cesar Garcia,Jun Cao,user,+41 56 406 3449,junc,Cao,Cao,Strategy Consultant
Strategy Consulting,CN=Tony Wang,TRUE,Tony,CN=Ellen Adams,Tony Wang,user,+41 56 406 4595,tonyw,Wang,Wang,Strategy Consultant
Strategy Consulting,CN=Kenneth Cools,TRUE,Kenneth,CN=Brad Sutton,Kenneth Cools,user,+41 56 406 4886,kennetc,Cools,Cools,Strategy Consultant
Strategy Consulting,CN=Steve Masters,TRUE,Steve,CN=Cesar Garcia,Steve Masters,user,+41 56 406 4557,stevem,Masters,Masters,Strategy Consultant
Strategy Consulting,CN=Lubor Kollar,TRUE,Lubor,CN=Aaron Painter,Lubor Kollar,user,+41 56 406 8223,lubork,Kollar,Kollar,Strategy Consultant
Strategy Consulting,CN=Michael Ludwig,TRUE,Michael,CN=Cesar Garcia,Michael Ludwig,user,+41 56 406 6621,michael,Ludwig,Ludwig,Strategy Consultant
Strategy Consulting,CN=Michael Lund,TRUE,Michael,CN=Ellen Adams,Michael Lund,user,+41 56 406 4295,michal1,Lund,Lund,Strategy Consultant
Strategy Consulting,CN=Michael Sullivan,TRUE,Michael,CN=Brad Sutton,Michael Sullivan,user,+41 56 406 8398,michaes,Sullivan,Sullivan,Strategy Consultant
Strategy Consulting,CN=Ray Chow,TRUE,Ray,CN=David Maman,Ray Chow,user,+41 56 406 5295,rayc,Chow,Chow,Strategy Consultant
Content Management Consulting,CN=Diane Glimp,TRUE,Diane,CN=Stan Orme,Diane Glimp,user,+41 56 406 3984,dianeg,Glimp,Glimp,Content Management Consultant
Strategy Consulting,CN=Ken Malcolmson,TRUE,Ken,CN=Ellen Adams,Ken Malcolmson,user,+41 56 406 8879,kenm,Malcolmson,Malcolmson,Strategy Consultant
Project Management,CN=Manueal Machado,TRUE,Manueal,CN=Barry Johnson,Manueal Machado,user,+41 56 406 2246,manueam,Machado,Machado,Senior Project Manager
Sales,CN=Luca Dellamore,TRUE,Luca,CN=April Stewart,Luca Dellamore,user,+41 56 406 8461,lucad,Dellamore,Dellamore,Salesperson
Project Management,CN=Ivo Salmre,TRUE,Ivo,CN=Andrew Ma,Ivo Salmre,user,+41 56 406 2699,ivos,Salmre,Salmre,Project Manager
Sales,CN=Howard Gonzalez,TRUE,Howard,CN=Lene Aalling,Howard Gonzalez,user,+41 56 406 6851,howardg,Gonzalez,Gonzalez,Salesperson
Sales,CN=Elizabeth Andersen,TRUE,Elizabeth,CN=Arthur Yasinski,Elizabeth Andersen,user,+41 56 406 7395,elizaba,Andersen,Andersen,Salesperson
Project Management,CN=Denis Dehenne,TRUE,Denis,CN=Barry Johnson,Denis Dehenne,user,+41 56 406 6492,denisd,Dehenne,Dehenne,Project Manager
Sales,CN=David Wright,TRUE,David,CN=David Simpson,David Wright,user,+41 56 406 9264,davidw,Wright,Wright,Salesperson
Project Management,CN=Chris Barry,TRUE,Chris,CN=Mike Nash,Chris Barry,user,+41 56 406 9267,chrisb,Barry,Barry,Project Manager
Project Management,CN=Ayla Kol,TRUE,Ayla,CN=Scott Bishop,Ayla Kol,user,+41 56 406 3448,aylak,Kol,Kol,Project Manager
Project Management,CN=Alisa Lawyer,TRUE,Alisa,CN=Scott Bishop,Alisa Lawyer,user,+41 56 406 4738,alisal,Lawyer,Lawyer,Project Manager
Project Management,CN=Simon Rapier,TRUE,Simon,CN=Scott Bishop,Simon Rapier,user,+41 56 406 9848,simonr,Rapier,Rapier,Senior Project Manager
Project Management,CN=Rob Barker,TRUE,Rob,CN=Chris Norred,Rob Barker,user,+41 56 406 2474,robb,Barker,Barker,Project Manager
Sales,CN=Hazem Abolrous,TRUE,Hazem,CN=Lene Aalling,Hazem Abolrous,user,+41 56 406 3823,hazema,Abolrous,Abolrous,Salesperson
Project Management,CN=Ned Friend,TRUE,Ned,CN=Chris Norred,Ned Friend,user,+41 56 406 8382,nedf,Friend,Friend,Project Manager
Project Management,CN=Richard Tupy,TRUE,Richard,CN=Andrew Ma,Richard Tupy,user,+41 56 406 1694,richart,Tupy,Tupy,Project Manager
Project Management,CN=Don Funk,TRUE,Don,CN=Chris Norred,Don Funk,user,+41 56 406 6561,donf,Funk,Funk,Project Manager
Project Management,CN=Dave Natsuhara,TRUE,Dave,CN=Chris Norred,Dave Natsuhara,user,+41 56 406 9299,daven,Natsuhara,Natsuhara,Project Manager
Project Management,CN=Christian Rytt,TRUE,Christian,CN=Chris Norred,Christian Rytt,user,+41 56 406 5488,christr,Rytt,Rytt,Project Manager
Project Management,CN=Ted Bremer,TRUE,Ted,CN=Chris Norred,Ted Bremer,user,+41 56 406 3874,tedb,Bremer,Bremer,Business Process Manager
Project Management,CN=Sean Purcell,TRUE,Sean,CN=Chris Norred,Sean Purcell,user,+41 56 406 6953,seanp,Purcell,Purcell,Business Process Manager
Project Management,CN=Ray Mohrman,TRUE,Ray,CN=Barry Johnson,Ray Mohrman,user,+41 56 406 1471,raym,Mohrman,Mohrman,Senior Project Manager
Project Management,CN=Mike Tiano,TRUE,Mike,CN=Chris Norred,Mike Tiano,user,+41 56 406 6552,miket,Tiano,Tiano,Business Process Manager
Project Management,CN=Margaret Au,TRUE,Margaret,CN=Chris Norred,Margaret Au,user,+41 56 406 2918,margara,Au,Au,Business Process Manager
